Airline,Airport,Code,AvgDelay
"Virgin America: VX","Kona, HI: Ellison Onizuka Kona International at Keahole",KOA,8.7222
"Alaska Airlines Inc.: AS","Houston, TX: George Bush Intercontinental/Houston",IAH,16.3750
"Southwest Airlines Co.: WN","Newark, NJ: Newark Liberty International",EWR,20.1208
"JetBlue Airways: B6","New Orleans, LA: Louis Armstrong New Orleans International",MSY,30.6643
"American Airlines Inc.: AA","Jackson, WY: Jackson Hole",JAC,45.1600
"Frontier Airlines Inc.: F9","Sioux Falls, SD: Joe Foss Field",FSD,45.1818
"Delta Air Lines Inc.: DL","Hayden, CO: Yampa Valley",HDN,66.1364
"ExpressJet Airlines LLC: EV","Abilene, TX: Abilene Regional",ABI,75.0000
"Spirit Air Lines: NK","Niagara Falls, NY: Niagara Falls International",IAG,122.0909
"United Air Lines Inc.: UA","Asheville, NC: Asheville Regional",AVL,124.6452
"Hawaiian Airlines Inc.: HA","Pago Pago, TT: Pago Pago International",PPG,146.6364
"SkyWest Airlines Inc.: OO","Harlingen/San Benito, TX: Valley International",HRL,150.0000
