Name,Reason,Number
"Aberdeen, SD: Aberdeen Regional",Weather,3
"Adak Island, AK: Adak",Weather,1
"Akron, OH: Akron-Canton Regional",Weather,2
"Albany, NY: Albany International",Weather,4
"Albuquerque, NM: Albuquerque International Sunport",Carrier,2
"Allentown/Bethlehem/Easton, PA: Lehigh Valley International",Weather,3
"Alpena, MI: Alpena County Regional",Weather,2
"Amarillo, TX: Rick Husband Amarillo International",Weather,3
"Anchorage, AK: Ted Stevens Anchorage International",Weather,17
"Appleton, WI: Appleton International",Weather,1
"Arcata/Eureka, CA: California Redwood Coast Humboldt County",Weather,3
"Asheville, NC: Asheville Regional",Weather,11
"Aspen, CO: Aspen Pitkin County Sardy Field",Weather,35
"Atlanta, GA: Hartsfield-Jackson Atlanta International",Weather,822
"Atlantic City, NJ: Atlantic City International",Carrier,1
"Augusta, GA: Augusta Regional at Bush Field",Weather,3
"Austin, TX: Austin - Bergstrom International",Weather,24
"Baltimore, MD: Baltimore/Washington International Thurgood Marshall",Weather,72
"Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field",Weather,8
"Bemidji, MN: Bemidji Regional",Weather,1
"Bend/Redmond, OR: Roberts Field",Weather,3
"Bethel, AK: Bethel Airport",Weather,4
"Binghamton, NY: Greater Binghamton/Edwin A. Link Field",Weather,3
"Birmingham, AL: Birmingham-Shuttlesworth International",Weather,16
"Bismarck/Mandan, ND: Bismarck Municipal",Carrier,2
"Bloomington/Normal, IL: Central Il Regional Airport at Bloomington","National Air System",2
"Boise, ID: Boise Air Terminal",Weather,4
"Boston, MA: Logan International",Weather,41
"Bozeman, MT: Bozeman Yellowstone International",Weather,8
"Bristol/Johnson City/Kingsport, TN: Tri Cities",Weather,3
"Buffalo, NY: Buffalo Niagara International",Weather,9
"Burbank, CA: Bob Hope",Carrier,13
"Burlington, VT: Burlington International","National Air System",2
"Cape Girardeau, MO: Cape Girardeau Regional",Weather,1
"Cedar Rapids/Iowa City, IA: The Eastern Iowa","National Air System",3
"Charleston, SC: Charleston AFB/International",Weather,13
"Charleston/Dunbar, WV: Yeager","National Air System",4
"Charlotte Amalie, VI: Cyril E King",Carrier,2
"Charlotte, NC: Charlotte Douglas International",Weather,25
"Charlottesville, VA: Charlottesville Albemarle","National Air System",4
"Chattanooga, TN: Lovell Field",Weather,9
"Chicago, IL: Chicago Midway International",Weather,100
"Chicago, IL: Chicago O'Hare International",Weather,94
"Cincinnati, OH: Cincinnati/Northern Kentucky International",Weather,10
"Clarksburg/Fairmont, WV: North Central West Virginia",Weather,3
"Cleveland, OH: Cleveland-Hopkins International",Weather,16
"Cody, WY: Yellowstone Regional",Weather,1
