FlightDate,AvgPre3
2017-12-01,NULL
2017-12-02,15738.0000
2017-12-03,13930.0000
2017-12-04,14216.6667
2017-12-05,14165.3333
2017-12-06,15097.0000
2017-12-07,15239.3333
2017-12-08,15273.3333
2017-12-09,15551.0000
2017-12-10,14524.0000
2017-12-11,14222.0000
2017-12-12,14162.6667
2017-12-13,15090.6667
2017-12-14,15240.6667
2017-12-15,15290.0000
2017-12-16,15646.0000
2017-12-17,14750.6667
2017-12-18,14504.0000
2017-12-19,14505.0000
2017-12-20,15545.3333
2017-12-21,15874.3333
2017-12-22,15909.6667
2017-12-23,16098.3333
2017-12-24,15759.0000
2017-12-25,14647.3333
2017-12-26,13529.0000
2017-12-27,13882.6667
2017-12-28,14968.6667
2017-12-29,16013.0000
2017-12-30,16022.0000
2017-12-31,15647.3333
FlightDate,14651.3333
